County,Official Court Contact Page,General Court Phone,Clerk / Clerk's Office Phone,Publicly Listed Clerk/Court Email,Status,Notes,Official Court Contact Source,Secondary Source,Verified Date
Alameda,https://www.alameda.courts.ca.gov/general-information/phone-fax-numbers,(510) 891-6000,(510) 267-6911 / (510) 267-6923 / (510) 267-6912,AskRecordsManagement@alameda.courts.ca.gov; asktraffic@alameda.courts.ca.gov; askjuvenile@alameda.courts.ca.gov,General phone and multiple clerk/office contacts publicly listed,Official phone directory lists main directory plus division clerk numbers and multiple public court emails.,https://www.alameda.courts.ca.gov/general-information/phone-fax-numbers,https://www.oncalllegal.com/court-phone-numbers,2026-04-05
Alpine,https://www.alpine.courts.ca.gov/generalinfo/index.htm,(530) 694-2113,(530) 694-2113,,Single public court phone found; no separate clerk email found,Official location page lists one public phone and fax; no separate clerk email verified in this pass.,https://www.alpine.courts.ca.gov/location/alpine-county-superior-court,https://www.oncalllegal.com/court-phone-numbers,2026-04-05
Amador,https://www.amadorcourt.org/gi-contactUs.aspx,(209) 257-2600,(209) 257-2603 (civil); (209) 257-2604 (criminal); (209) 257-2605 (traffic),civil@amadorcourt.org; criminal@amadorcourt.org; traffic@amadorcourt.org; appeals@amadorcourt.org,General phone plus division clerk phones/emails publicly listed,Official contact page publishes a general phone-tree number and several division-specific clerk/court emails.,https://www.amadorcourt.org/gi-contactUs.aspx,https://www.amadorcourt.org/gi-contactUs.aspx,2026-04-05
Butte,https://www.buttecourt.ca.gov,(530) 532-7002,(530) 532-7002,,Main public phone verified from statewide directory source; no separate clerk email verified,Official site search results in this pass did not expose a clerk email. Main court phone captured from statewide California court directory page.,https://www.oncalllegal.com/court-phone-numbers,https://www.buttecourt.ca.gov,2026-04-05
Calaveras,https://www.calaveras.courts.ca.gov/general-information/location-hours-and-contact-info,(209) 754-9800,(209) 754-9800,,Single public court phone found; no public clerk email found,"Official location/contact page snippet lists one court phone and clerk's office hours, but no separate clerk email.",https://www.calaveras.courts.ca.gov/general-information/location-hours-and-contact-info,https://www.calaveras.courts.ca.gov/location/calaveras-superior-court,2026-04-05
Colusa,https://www.colusa.courts.ca.gov/general-information/locations-contact-info,(530) 458-5149,(530) 458-5149,,Single public court phone found; no public clerk email found,Official locations page lists the courthouse phone for both locations. No separate clerk email was verified in this pass.,https://www.colusa.courts.ca.gov/locations,https://www.colusa.courts.ca.gov/locations,2026-04-05
Contra Costa,https://contracosta.courts.ca.gov/phone-directory-court,(925) 608-1000,(925) 608-1000,,Main public phone found; separate civil clerk number not separately published in sources reviewed,Statewide directory notes the civil clerk uses the same main number.,https://www.oncalllegal.com/court-phone-numbers,https://contracosta.courts.ca.gov/phone-directory-court,2026-04-05
Del Norte,https://www.delnorte.courts.ca.gov/general-information/location-contact/contact,,,,No public clerk email found,Official site surfaced a contact form and phone contact; no public clerk email verified in available results.,https://www.delnorte.courts.ca.gov/general-information/location-contact/contact,,2026-04-05
El Dorado,https://eldorado.courts.ca.gov,(530) 621-7400,(530) 621-7400,,Main public phone found; no public clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://eldorado.courts.ca.gov,2026-04-05
Fresno,https://www.fresno.courts.ca.gov/general-information/locations-contact-info,(559) 457-1600,(559) 457-2400,,Main public phone plus civil filing clerk phone found,Statewide directory page lists the main court phone and a separate civil filing clerk number.,https://www.oncalllegal.com/court-phone-numbers,https://www.fresno.courts.ca.gov/general-information/locations-contact-info,2026-04-05
